{'Low': 0.9984443783760071, 'Medium': 0.0008796372567303479, 'High': 0.002790383994579315}
{'Low': 0.06205632537603378, 'Medium': 0.917978823184967, 'High': 0.00018051239021588117}
{'Low': 0.14737673103809357, 'Medium': 0.7145047783851624, 'High': 0.00027698668418452144}
{'Low': 0.9985748529434204, 'Medium': 4.539787187241018e-05, 'High': 0.0007713796221651137}
{'Low': 0.9636171460151672, 'Medium': 0.011042345315217972, 'High': 0.04269493371248245}
{'Low': 0.904105007648468, 'Medium': 0.00908195972442627, 'High': 0.01668730191886425}
{'Low': 0.015436296351253986, 'Medium': 0.20809806883335114, 'High': 0.4457486569881439}
{'Low': 0.020636089146137238, 'Medium': 0.038272395730018616, 'High': 0.8025215268135071}
{'Low': 0.08162675052881241, 'Medium': 0.8002309799194336, 'High': 0.004056508187204599}
{'Low': 0.0373552143573761, 'Medium': 0.9288934469223022, 'High': 0.0001952125458046794}
{'Low': 0.8095994591712952, 'Medium': 0.16775773465633392, 'High': 0.005025013349950314}
{'Low': 0.06657814234495163, 'Medium': 0.48385244607925415, 'High': 0.018834050744771957}
{'Low': 0.8574145436286926, 'Medium': 0.13882455229759216, 'High': 0.006648206617683172}
{'Low': 0.9957595467567444, 'Medium': 4.539787187241018e-05, 'High': 0.0023674850817769766}
{'Low': 0.0012436936376616359, 'Medium': 0.9971154928207397, 'High': 4.539787187241018e-05}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.9981474876403809, 'Medium': 9.921184391714633e-05, 'High': 0.0005483545828610659}
{'Low': 0.9994205236434937, 'Medium': 0.0021693180315196514, 'High': 0.00023085818975232542}
{'Low': 0.9926865100860596, 'Medium': 0.01791849359869957, 'High': 0.0010769632644951344}
{'Low': 4.7486115363426507e-05, 'Medium': 0.9986003041267395, 'High': 4.565971903502941e-05}
{'Low': 0.990726113319397, 'Medium': 0.00030347410938702524, 'High': 0.006461156997829676}
{'Low': 0.9999545812606812, 'Medium': 0.00010232746717520058, 'High': 4.539787187241018e-05}
{'Low': 0.0818294957280159, 'Medium': 0.7160559892654419, 'High': 0.0027063835877925158}
{'Low': 0.974509596824646, 'Medium': 0.04851292818784714, 'High': 0.0008615164551883936}
{'Low': 0.39179137349128723, 'Medium': 0.8026206493377686, 'High': 6.37736520729959e-05}
{'Low': 0.0004202006966806948, 'Medium': 0.9955950379371643, 'High': 0.00208992138504982}
{'Low': 0.7203047871589661, 'Medium': 0.14026078581809998, 'High': 0.06004336103796959}
{'Low': 0.018022166565060616, 'Medium': 0.9922319650650024, 'High': 0.00039849409949965775}
{'Low': 0.22336412966251373, 'Medium': 0.6605178117752075, 'High': 0.001878617680631578}
{'Low': 0.9790815114974976, 'Medium': 0.0013831378892064095, 'High': 0.016891544684767723}
{'Low': 0.935059666633606, 'Medium': 0.009799465537071228, 'High': 0.03635292127728462}
{'Low': 0.015301963314414024, 'Medium': 0.9830930233001709, 'High': 0.0008733897120691836}
Traceback (most recent call last):
{'Low': 0.0010486855171620846, 'Medium': 0.9901809692382812, 'High': 0.034215256571769714}
